登陆时间	用户	类型
Wed_May_23_19:10:53_2018	李华	教职工
Wed_May_23_19:11:36_2018	李华	教职工
Wed_May_23_19:15:57_2018	李华	教职工
Wed_May_23_19:18:03_2018	李华	教职工
Wed_May_23_19:30:10_2018	李华	教职工
Wed_May_23_19:32:40_2018	李华	教职工
Wed_May_23_19:36:34_2018	李华	教职工
Wed_May_23_19:37:28_2018	李华	教职工
Wed_May_23_19:40:36_2018	李华	教职工
Wed_May_23_19:43:12_2018	李华	教职工
Wed_May_23_19:44:48_2018	李华	教职工
Wed_May_23_19:49:10_2018	李华	教职工
Wed_May_23_19:56:28_2018	李华	教职工
Wed_May_23_19:56:45_2018	李华	教职工
Wed_May_23_19:57:45_2018	李华	教职工
Wed_May_23_19:58:40_2018	李华	教职工
Wed_May_23_20:02:38_2018	林子豪	学生
Wed_May_23_20:03:39_2018	林子豪	学生
Wed_May_23_20:04:04_2018	林子豪	学生
Wed_May_23_20:06:38_2018	林子豪	学生
Wed_May_23_20:09:08_2018	林子豪	学生
Wed_May_23_20:09:27_2018	林子豪	学生
Wed_May_23_20:15:27_2018	林子豪	学生
Wed_May_23_20:21:49_2018	林子豪	学生
Wed_May_23_20:26:16_2018	林子豪	学生
Wed_May_23_20:28:48_2018	林子豪	学生
Wed_May_23_20:32:34_2018	林子豪	学生
Wed_May_23_20:33:10_2018	林子豪	学生
Wed_May_23_20:33:49_2018	林子豪	学生
Wed_May_23_20:35:21_2018	林子豪	学生
Wed_May_23_20:35:52_2018	林子豪	学生
Wed_May_23_20:39:17_2018	林子豪	学生
Wed_May_23_20:42:02_2018	林子豪	学生
Wed_May_23_20:49:58_2018	林子豪	学生
Wed_May_23_20:50:57_2018	林子豪	学生
Wed_May_23_20:57:24_2018	林子豪	学生
Wed_May_23_20:57:49_2018	林子豪	学生
Wed_May_23_21:03:20_2018	林子豪	学生
Wed_May_23_21:08:47_2018	林子豪	学生
Wed_May_23_21:10:08_2018	林子豪	学生
Wed_May_23_21:14:17_2018	林子豪	学生
Wed_May_23_21:15:10_2018	林子豪	学生
Wed_May_23_21:20:09_2018	林子豪	学生
Wed_May_23_21:20:42_2018	李华	教职工
Wed_May_23_21:22:34_2018	林子豪	学生
Wed_May_23_21:27:00_2018	Admin	教职工
Wed_May_23_21:27:38_2018	Admin	教职工
Wed_May_23_21:32:28_2018	林子豪	学生
Wed_May_23_21:35:00_2018	林子豪	学生
Wed_May_23_23:02:45_2018	林子豪	学生
Wed_May_23_23:04:40_2018	林子豪	学生
Wed_May_23_23:05:57_2018	林子豪	学生
Wed_May_23_23:09:51_2018	林子豪	学生
Wed_May_23_23:10:27_2018	林子豪	学生
Wed_May_23_23:12:49_2018	林子豪	学生
Wed_May_23_23:16:05_2018	林子豪	学生
Wed_May_23_23:17:50_2018	林子豪	学生
Wed_May_23_23:18:27_2018	林子豪	学生
Wed_May_23_23:19:12_2018	林子豪	学生
Wed_May_23_23:24:53_2018	林子豪	学生
Wed_May_23_23:28:26_2018	林子豪	学生
Wed_May_23_23:29:30_2018	林子豪	学生
Wed_May_23_23:30:20_2018	林子豪	学生
Wed_May_23_23:32:15_2018	林子豪	学生
Wed_May_23_23:38:29_2018	林子豪	学生
Wed_May_23_23:39:26_2018	林子豪	学生
Wed_May_23_23:41:34_2018	林子豪	学生
Wed_May_23_23:52:28_2018	林子豪	学生
Wed_May_23_23:54:14_2018	林子豪	学生
Thu_May_24_15:59:58_2018	林子豪	学生
Thu_May_24_16:00:52_2018	林子豪	学生
Thu_May_24_16:06:44_2018	林子豪	学生
Thu_May_24_16:08:50_2018	林子豪	学生
Thu_May_24_16:13:08_2018	林子豪	学生
Thu_May_24_16:15:14_2018	林子豪	学生
Thu_May_24_16:16:51_2018	林子豪	学生
Thu_May_24_16:31:48_2018	林子豪	学生
Thu_May_24_16:36:58_2018	林子豪	学生
Thu_May_24_16:38:52_2018	林子豪	学生
Thu_May_24_22:34:45_2018	李华	教职工
Thu_May_24_22:40:24_2018	李华	教职工
Thu_May_24_22:46:00_2018	Admin	教职工
Thu_May_24_23:22:11_2018	Admin	教职工
Thu_May_24_23:27:06_2018	林书	学生
Thu_May_24_23:29:05_2018	Admin	教职工
Thu_May_24_23:31:03_2018	林子豪	学生
Fri_May_25_19:29:27_2018	林子豪	学生
Fri_May_25_19:30:39_2018	林子豪	学生
Fri_May_25_19:34:15_2018	林子豪	学生
Fri_May_25_19:40:08_2018	林子豪	学生
Fri_May_25_19:48:12_2018	林子豪	学生
Fri_May_25_19:55:35_2018	林子豪	学生
Fri_May_25_19:56:32_2018	林子豪	学生
Fri_May_25_20:04:27_2018	王芳	教职工
Mon_May_28_20:19:59_2018	林书	学生
Mon_May_28_20:21:34_2018	林子豪	学生
Mon_May_28_20:22:55_2018	林子豪	学生
Mon_May_28_20:24:10_2018	林子豪	学生
Tue_May_29_19:34:27_2018	李华	教职工
Wed_May_30_18:54:04_2018	李华	教职工
Wed_May_30_18:55:33_2018	林子豪	学生
Wed_May_30_18:59:13_2018	Admin	教职工
Wed_May_30_19:00:09_2018	林子豪	学生
Wed_May_30_22:52:34_2018	林子豪	学生
Wed_May_30_23:45:38_2018	林子豪	学生
Wed_May_30_23:58:37_2018	林子豪	学生
Thu_May_31_10:12:48_2018	林子豪	学生
Thu_May_31_10:12:57_2018	林子豪	学生
Thu_May_31_10:15:55_2018	林子豪	学生
Thu_May_31_14:30:26_2018	Admin	教职工
Thu_May_31_14:40:02_2018	李华	教职工
Thu_May_31_14:40:20_2018	王芳	教职工
Thu_May_31_14:40:31_2018	李华	教职工
Thu_May_31_14:44:46_2018	王芳	教职工
Thu_May_31_14:48:18_2018	王芳	教职工
Thu_May_31_14:48:59_2018	林书	学生
Thu_May_31_14:49:18_2018	王芳	教职工
Thu_May_31_15:00:29_2018	林书	学生
Thu_May_31_15:01:23_2018	林书	学生
Thu_May_31_15:04:39_2018	王芳	教职工
Thu_May_31_15:06:09_2018	王芳	教职工
Thu_May_31_15:08:24_2018	王芳	教职工
Thu_May_31_15:10:25_2018	王芳	教职工
Thu_May_31_15:16:29_2018	王芳	教职工
Thu_May_31_15:17:29_2018	王芳	教职工
Thu_May_31_15:18:12_2018	王芳	教职工
Thu_May_31_15:23:44_2018	王芳	教职工
Thu_May_31_15:32:34_2018	李华	教职工
Thu_May_31_15:36:41_2018	Admin	教职工
Thu_May_31_15:37:35_2018	刘宇新	学生
Thu_May_31_15:42:12_2018	林子豪	学生
